,tweet_id,created_at,user,location,text
0,'1131047852883546118,2019-05-22 04:03:16,NYCRocksYou,New York,We will be premiering our very first NYC based vlog at Noon! We visit the brand new Statue of Liberty Museum 🗽on it… https://t.co/3sGd5CTW2Y
1,'1131037675279069185,2019-05-22 03:22:50,MorinToon,"Maine, USA","Give us your white, your rich, entitled and educated. To hell with everybody else #morintoon #TrumpImmigration… https://t.co/qsPp2etPj1"
2,'1131022433337659392,2019-05-22 02:22:16,DWUConservation,"Government District, Dallas",The #StatueofLiberty app is pretty much everything. Such a cool way to learn about #LadyLiberty #NYC https://t.co/PvYPcguvMg
3,'1131007852217286662,2019-05-22 01:24:19,marvslawrence,"Makati, Philippines","Meet up with the lady. 🗽| Liberty Island, New York City
.
.
.
#vsco #vscocam #vscocollective #nyc #wheninnyc… https://t.co/OXwNQR836z"
4,'1131003078742876160,2019-05-22 01:05:21,johanson_sven,"Cambridge, MA","Just your typical Tuesday, yachting on the Hudson. #newyork #statueofliberty #yacht #sailing #baller #boston… https://t.co/03RYqe4MVy"
5,'1130995497907433472,2019-05-22 00:35:14,polsonforjax,"Jacksonville, FL",Can you see her!? #StatueOfLiberty #Freedom #BringYourHuddledMasses #WelcomeToNewYork https://t.co/pSppyzHHQC
6,'1130982190072909824,2019-05-21 23:42:21,MorinToon,"Maine, USA","Give us your white, your rich, entitled and educated. To hell with everybody else #morintoon #TrumpImmigration… https://t.co/cnZ3idPTYl"
7,'1130965347442528256,2019-05-21 22:35:25,ianteamspirit,United Kingdom,Our new #statueofliberty #ladyliberty #torchgirl #themed #prop in action tonight @concorde_centre #newyork #usa… https://t.co/sGXGDEoYvB
8,'1130962355188379649,2019-05-21 22:23:32,AppleJasonOsuna,Texas,"Cool! #AugmentedReality #StatueofLiberty 
@AppleEDU  @StatueEllisFdn https://t.co/ZXIKM79StY"
9,'1130948208648216578,2019-05-21 21:27:19,KMiller45046553,,"#Trump has demonized #refugees, snatched their kids and locked them up. He may as well put a #burka on the #StatueofLiberty."
10,'1130947815524511744,2019-05-21 21:25:45,KMiller45046553,,@realDonaldTrump #Trump has demonized #refugees and snatched their kids and locked them up. He may as well put a… https://t.co/YCNTGvoVTI
11,'1130946143209316352,2019-05-21 21:19:07,rodrigoegido,Valencia,Travel through time and watch history unfold using the #StatueofLiberty #AugmentedReality app. Hear stories of thos… https://t.co/qXwOmFr9l8
12,'1130945785032577026,2019-05-21 21:17:41,AppleEDU,"Cupertino, CA",Travel through time and watch history unfold using the #StatueofLiberty #AugmentedReality app. Hear stories of thos… https://t.co/iFffZgoZPR
13,'1130945001259753474,2019-05-21 21:14:34,hotguy2018,"Cartagena, Colombia","@JeffBezos 3 reasons to give this tee to your Papa(Dad-Daddy): nice, cool &amp; fun
Take as many as you want, here:… https://t.co/Hi2cIeSRC7"
14,'1130938593017573377,2019-05-21 20:49:07,briank_photo,"Farmingdale, NY","Another night of #fireworks last night next to the @statueellisnps 
Thankfully they moved the barge much closer to… https://t.co/QWtf29oACS"
15,'1130936397869846535,2019-05-21 20:40:23,InkVaruth,,Lady Liberty #statueofliberty #newyork #NYC #USA @ Statue of Liberty National Monument https://t.co/q5GJmeubgc
16,'1130935002009612294,2019-05-21 20:34:50,MrS1n3D,,Liberty enlightening the world #nyc #NY #statueofliberty #shotoniphone à Statue of Liberty National Monument https://t.co/0V9iZREA5j
17,'1130933643130605570,2019-05-21 20:29:26,sapiascience,"Stamford, CT",I think it’s time we make a trip to #ellisisland #newyork #statueofliberty #spspride #spsmind https://t.co/FYrDmEEnw6
18,'1130931308480335872,2019-05-21 20:20:10,StatueEllisFdn,"New York, NY USA",Liberty Island colorfully lit up at night is an unusual sight. These photos were taken by @PSeibertphoto during the… https://t.co/jna5mdV8uO
19,'1130907247134027776,2019-05-21 18:44:33,schliefkevision,"Kansas City, Missouri",The #StatueofLiberty back to France? Perhaps rebuilding Notre Dame will be a lot easier since we're not using it an… https://t.co/HwbAUoWqej
20,'1130900751029604352,2019-05-21 18:18:44,ehatourist,"Earth, probably",A walking tour of historic #Bordeaux &amp; The Port of the Moon #travel https://t.co/M8DLX1q2oT #europe #france #history #statueofliberty
21,'1130898730893434880,2019-05-21 18:10:43,CornellCAS,"Ithaca, NY",History professor @ithacamcg served on the advisory committee of the brand new #StatueofLibertyMuseum:… https://t.co/dYGudjUeOW
22,'1130897862722822145,2019-05-21 18:07:16,phoebecates11,,#Cooky visiting #StatueofLiberty in New York https://t.co/lU2efWnxgA
23,'1130896180538425344,2019-05-21 18:00:35,GoldenTouchNYC,,"Wow, the original torch from 1886 now on display at the #statueoflibertymuseum 😍🗽IG 📸 by @davidsundbergphoto . Repl… https://t.co/CGFI93Heie"
24,'1130888622998282240,2019-05-21 17:30:33,emmandoodles,"Richmond, England",Busy day seeing the sights of NYC #statueofliberty #ellisisland #manhattanskyline #empirestatebuilding @ Statue Of… https://t.co/rIiBpAi1AS
25,'1130875612141301763,2019-05-21 16:38:51,IsleOfNewYorkTr,"Manhattan, NY","Officers of the @NYPDSpecialops climb the Brooklyn Bridge cables as part of their training.
The non-cables photo is… https://t.co/Uap0nZ25TQ"
26,'1130870642365145089,2019-05-21 16:19:06,gostefaniego,"santa ana, ca",Perfect day for a boat ride 🗽⛴ #newyorkcity #newyork #statueofliberty #manhattan #travel https://t.co/H6SsRM8f3b
27,'1130869122198364160,2019-05-21 16:13:03,SalAndMookies,"Jackson, MS",Simple. Classic. Burger. Our #StatueOfLiberty #Burger is as #AllAmerican as beef between two buns. #howdoyouburger… https://t.co/mV3YhWkqnp
28,'1130865340701970432,2019-05-21 15:58:02,GoAirlinkNYC,New York City,Liberty Island received a new attraction earlier this month when the #StatueofLiberty Museum opened. Check out its… https://t.co/uRrWULc6yK
29,'1130849814386634752,2019-05-21 14:56:20,MeEstanMatando,Mexico,#statueofliberty #libertyisland #newyork en Statue of Liberty National Monument https://t.co/sFNhTocSqo
30,'1130847543003308033,2019-05-21 14:47:19,Fisher_DanaR,"Maryland, USA","So much for ""your tired, your poor, Your huddled masses yearning to breathe free, The wretched refuse of your teemi… https://t.co/clntVJDomW"
31,'1130840704635342848,2019-05-21 14:20:08,KIDS_DISCOVER,New York City,"#OTD in 1884, the #StatueOfLiberty was finally completed. But #DYK the journey from idea to reality had taken almos… https://t.co/lO0oKezzve"
32,'1130826863625015297,2019-05-21 13:25:08,PlatTravSDF,"Louisville, KY",Tour guides will soon be restricted at two popular NYC sites #NYC #tourism #statueofliberty https://t.co/oai35JGE7Y
33,'1130826863616712705,2019-05-21 13:25:08,TravelAuthority,United States,Tour guides will soon be restricted at two popular NYC sites #NYC #tourism #statueofliberty https://t.co/DiYmTodZvQ
34,'1130826365891219456,2019-05-21 13:23:10,cornoviapcards,"Sheffield, England","Statue of Liberty, New York City, c.1905 - Success Postal Card Co Postcard | For sale on Delcampe… https://t.co/POMafAPxlr"
35,'1130790641703772161,2019-05-21 11:01:12,JohalSean,"London, England","It's interesting how we measure time and not simply in terms of minutes, but in terms of concepts such as “very ear… https://t.co/Lcwbqcmd5b"
36,'1130780724750168064,2019-05-21 10:21:48,ESIDesign,"New York, NY",@sixteennine Thanks for sharing the new #StatueofLibertyMuseum! 🗽
37,'1130730997115478016,2019-05-21 07:04:12,My_WoWo,"Seriate, Lombardia",Take a break and visit #newyork with @mywowo_travel_app ! Lots of professional audio content are waiting for you!… https://t.co/bnzq46Ylg7
38,'1130680781922291713,2019-05-21 03:44:40,Peter_Max,Planet Earth,Famed artist #PeterMax paints #StatueofLiberty for new museum opening.  https://t.co/7QaDOK1poy @StatueEllisFdn… https://t.co/l4O2tk6i5Y
39,'1130660038303997952,2019-05-21 02:22:14,Julie_in_FL,#FF @zoctorking,"#FieldTrip! We took a trip! We saw #SunsetPark, #Brooklyn &amp; #StatueOfLiberty, #NYHarbor; @peteespie #EatMorePies… https://t.co/BZBtDXOwVY"
40,'1130658551981060096,2019-05-21 02:16:20,RobynTweeters,"Glastonbury, CT",Tonight my mom told me she saw a picture of @HillaryClinton and @D_Copperfield at #Coachella ... it was actually th… https://t.co/lFFIhY54BV
41,'1130600472551854080,2019-05-20 22:25:32,HRLori,New York City,"She may appear small from a distance but get up close and she’ s fierce beyond words, just like so many women I kno… https://t.co/rG4zg6Bngb"
42,'1130594340638789632,2019-05-20 22:01:10,t_enrico,"Guildford, England","Hey lady! #
.
.
.
.
.
.
.
.
.
.
.
.
#newyork #i❤️ny #usa #america #holiday #traveller #travel #instatravel… https://t.co/Hfg079i2WJ"
43,'1130582479885209602,2019-05-20 21:14:03,NewYorkFamily,"New York, NY",Prepare to let freedom ring at the new #StatueofLibertyMuseum! Come with your family to celebrate Lady Liberty’s hi… https://t.co/76swAbyENN
44,'1130580129527287813,2019-05-20 21:04:42,slabkoff,"Stamford, CT","“She Lights the Way” - full moon rise at Liberty State Park, May 19, 2019.  

#luminantpix 
#statueofliberty… https://t.co/1nH6tf5Gj1"
45,'1130575661695942657,2019-05-20 20:46:57,KHMTravel,"Brunswick, Ohio",A new museum has opened on Liberty Island in New York to share the history of #LadyLiberty with your clients visiti… https://t.co/2FvI9OAxQD
46,'1130565302306189313,2019-05-20 20:05:47,AnalyticaGlobal,Worldwide,"The #StatueofLiberty, one of New York's most visited attractions, has put restrictions on commercial guided tours o… https://t.co/9QTOR1H0Pb"
47,'1130563967955427331,2019-05-20 20:00:29,ESIDesign,"New York, NY","""Every American should visit the new Statue of Liberty Museum,"" says @FastCompany. https://t.co/LSdXj1ggS6… https://t.co/NBWgfKc42b"
48,'1130563937588715520,2019-05-20 20:00:22,ChinaDaily,"Beijing, China","The #StatueofLiberty, one of New York's most visited attractions, has put restrictions on commercial guided tours o… https://t.co/ldX3YuVJ4L"
49,'1130558986258804736,2019-05-20 19:40:41,chrisrbooks,"Pasadena,CA","One of my favorite illustrations from my first picture book, LITTLE MISS LIBERTY from 2005 was published by… https://t.co/411gu5dDsK"
50,'1130558941426008064,2019-05-20 19:40:31,ta_ammy,Uk,"The lovely @ashdcuk and rachel_datta on the ferry over to the #StatueOfLiberty and #EllisIsland, she’s very green… https://t.co/XRL9DRlOlV"
51,'1130546568040517632,2019-05-20 18:51:21,Skattitude,Earth ,#statueofliberty #ellisisland #ilovebigbuildings #vantagepoint is everything https://t.co/KUYeCG0mT6 https://t.co/GTRA7txLML
52,'1130544997059710976,2019-05-20 18:45:06,dexigner,"New York, NY","ESI Designs Statue of Liberty Museum's Interactive Exhibits https://t.co/ie7BWHnTRu

#ExhibitionDesign @ESIDesign… https://t.co/6wu4IJ90sN"
53,'1130524672016211968,2019-05-20 17:24:20,Skattitude,Earth ,#statueofliberty #ellisisland #ilovebigbuildings #vantagepoint is everything @ World Trade Center https://t.co/tOJMEQDRGG
54,'1130523397228654592,2019-05-20 17:19:16,NYCAirporter,"New York, NY",How the NYC skyline has changed 😍🗽IG 📸 @nyc.lens #nycskyline #nyc #nycarchitecture #statueofliberty… https://t.co/nrOnLqvB6a
55,'1130521825623138306,2019-05-20 17:13:01,andrew_ca,"Colorado Springs, CO",Quality time with mom #mom #newyork #statueofliberty #merica @ Statue of Liberty National Monument https://t.co/JcdIxhjeol
56,'1130518288788852736,2019-05-20 16:58:58,jamesagardner,"Boston, MA","Wow! Clever idea. &gt; Official #StatueofLiberty app offers #AR views, including a view no one has seen since 1916… https://t.co/W8Ko0cLGyX"
57,'1130507907546664960,2019-05-20 16:17:43,Blacktiemag,"New York, Palm Beach",https://t.co/Md8UWiaQQ3  Black Tie International / Statue of Liberty Museum Opening Celebration… https://t.co/CbOVHkVNAb
58,'1130503468026912768,2019-05-20 16:00:05,NYCommTrust,New York City,Last week the new #StatueofLibertyMuseum opened on Liberty Island. We are so proud to have contributed to the prese… https://t.co/Zs97ArlUaQ
59,'1130489011187998720,2019-05-20 15:02:38,MediaShrink,Print/TV/SocialMedia/Video,"Did The #StatueofLiberty #Resistance Climber Get Loose, AGAIN? https://t.co/KgMFxda0yz"
60,'1130475111721701376,2019-05-20 14:07:24,heyiworkedthere,,461 #statueofliberty🗽 #statueofliberty @ Statue of Liberty National Monument https://t.co/GFbt1BrShx
61,'1130460726651498501,2019-05-20 13:10:14,traveldotearth,,Overcrowding is leading to tour restrictions on two of New York City’s most popular attractions. For more details o… https://t.co/Q2pmve8sV6
62,'1130448892783419393,2019-05-20 12:23:13,SMSSchool3510,New York,Our 4th and 5th grade friends are off to Ellis Island and the Statue of Liberty. We hope they have a wonderful day!… https://t.co/wCETALbEsn
63,'1130439450650193921,2019-05-20 11:45:42,patooon,NYC,What is this #pinkflamingo by the #statueofliberty ? https://t.co/ne9cMCivbD
64,'1130433816571600896,2019-05-20 11:23:18,galadriella,"Quezon City, Philippines","A post dedicated to the Statue of Liberty, which I finally got to see even from afar. 🗽 #thisisnewyorkcity… https://t.co/iZ96EKisxQ"
65,'1130420489187397633,2019-05-20 10:30:21,ichamp_in,"Gurgaon, India",Sumsher's #SummerVacation - #Sumsher reaches #NewYork #UnitedStates to see #StatueofLiberty and share his #Maths Tr… https://t.co/8r4TcKtQBD
66,'1130413894306897921,2019-05-20 10:04:09,USFreedomCap,"Dallas, Texas USA","White House to unveil sweeping overhaul of immigration system, including merit-based admissions, officials say.… https://t.co/OIUbSWeKHM"
67,'1130310292846632960,2019-05-20 03:12:28,Xroadblues,,"#newyork #nycityworld #worldtradecenter #statueofliberty #ellisisland  @ New York, New York — in New York, New York https://t.co/UQzdtUMH6B"
68,'1130304744805883905,2019-05-20 02:50:25,briank_photo,"Farmingdale, NY","#fireworks by the @statueellisnps last night. 
Just wish the barge was closer to the #statueofliberty  maybe next t… https://t.co/ZFQvbHmwLI"
69,'1130300479353831429,2019-05-20 02:33:28,NatBarnsey,I save lives for a living • FL,The 2 cutest cousins a girl could ask for! They loved seeing Lady Liberty today 🗽 #WelcometoNY #NYC #EllisIsland… https://t.co/AnAnzYumW3
70,'1130263560553058304,2019-05-20 00:06:46,Mikejamez22,,"Today ended just like this... 
#sunset #wheelies #live 
🤘🏼🤘🏼
Who thought up the first motorcycle? That guy needs to… https://t.co/TxKgBToUYE"
71,'1130256208252866560,2019-05-19 23:37:33,DoucheChillDay,,#RainbowRailroad is doing great things.  Too bad #realDonaldTrump &amp; the #US aren’t doing shit.  The… https://t.co/L0gbP6QDYm
72,'1130254349786128385,2019-05-19 23:30:10,carlosmelia,New York & Worldwide,YES.!!! I am #WhisperingAngel guilty. Current mood - rooftop #barbecue + Rose @WhisperingAngel and #rooftoppool ove… https://t.co/pPKmeLZYeV
73,'1130207075185963009,2019-05-19 20:22:19,carlosmelia,New York & Worldwide,Current mood - rooftop #barbecue and #rooftoppool overlooking #statueofliberty and #hudsonriver with @dave10014 bru… https://t.co/prveHyqUMJ
74,'1130196172558065664,2019-05-19 19:39:00,NYCMayorsOffice,"New York, NY",The @NYCMayor and @NYCFirstLady visited Liberty Island for the official dedication ceremony of the Statue of Libert… https://t.co/f9GXekfeAV
75,'1130194853223178240,2019-05-19 19:33:45,MelSmithDesigns,london,"Nowhere is quite like #NewYork is it? With an undeniably awesome skyline, #BrooklynBridge, the #Guggenheim, the… https://t.co/UljxeUjCsE"
76,'1130183602581323776,2019-05-19 18:49:03,JUsborne,Under Gravity's Rainbow,"Yes, America really should give the #StatueofLiberty to Germany. We don't deserve her anymore. https://t.co/xeSOoAnoFa"
77,'1130181187664637952,2019-05-19 18:39:27,revealiocards,"San Francisco, CA",Now You Can Visit the Statue of Liberty in NYC from Anywhere in Augmented Reality via iOS App… https://t.co/NbKCONnhPw
78,'1130165393652441089,2019-05-19 17:36:41,Aeth82,"New York, NY","The best city in the world...!!🗽
.
.

#newyork #newyorkcity #nyc #best #city #world #image #cartoon #people… https://t.co/XM4kBNftlk"
79,'1130159694763515904,2019-05-19 17:14:03,angelsnmom,Tampa FL 🏠 Orlando FL 🎢,"@kate_frankie A1 big cities, small towns, the beach or the mountains, there are so much photograph-able places.  If… https://t.co/BSg85REPRB"
80,'1130157283143573506,2019-05-19 17:04:28,mmtkanik,"Cambridge, MA",Manhattan is way better looking from Brooklyn. #beauty #brooklyn #bridge #brooklynbridge #holiday #NYC #skyline… https://t.co/Z1a7RLAppo
81,'1130156124412497926,2019-05-19 16:59:52,lstonerock,dayton ohio,she's finished!! so happy with her. this one is part of a series of new black and white messenger bags!… https://t.co/bUWIfM63En
82,'1130148862197403664,2019-05-19 16:31:00,KellyFisherKatz,"Beverly Hills, CA",💎With the legendary @itstonybennett here at the opening of the Statue Of Liberty Museum! #statueofliberty🗽… https://t.co/wbHirtUHhm
83,'1130145617928499201,2019-05-19 16:18:07,gracieslifetv,United States,watch my new vlog!😘 #exercise #toddler #family #libertystatepark #liberty #jerseycity #statueofliberty #playground… https://t.co/7b45HZi6AT
84,'1130143613290188801,2019-05-19 16:10:09,bjespruill,"New York, NY","Lady Liberty. 

#manhattan #statueofliberty #ny #nyc #city  #photography #photo #picture #canon #photographer… https://t.co/zJfAmKWN9H"
85,'1130134746980335617,2019-05-19 15:34:55,JORGE_CV,"Maracaibo, Estado Zulia",#estatuadelalibertad🗽 #statueofliberty @ Statue Of Liberty And Ellis Island Immigration Museum https://t.co/yDsRp15ez3
86,'1130132664659402752,2019-05-19 15:26:38,styleofawesome1,United States,"Give me your tired, your poor, your horny masses... 📸: betancisco 👑: svs__ —————————————🥀———————
#LadyLiberty… https://t.co/41hT90gHrw"
87,'1130121643660128256,2019-05-19 14:42:51,Lbleiberg,"Birmingham, Alabama","From a lazy statue to #Lego to a surreal #Dali version, the #StatueofLiberty never ceases to surprise… https://t.co/buP4oj0c9Z"
88,'1130121093673562113,2019-05-19 14:40:40,alicja_williams,"New York, USA","Libertas 🗽 the Roman goddess of liberty 🗽 Is not only beautiful and free 🗽

💥 It’s ELECTRIFYING 💥

#badhairdontcare… https://t.co/sgiKcvMZza"
89,'1130112078017114112,2019-05-19 14:04:50,heyiworkedthere,,460 #statueofliberty🗽 #statueofliberty @ Statue of Liberty National Monument https://t.co/NvZ65bFQhR
90,'1130106739888656384,2019-05-19 13:43:37,kids_josette,USA ,thx 2 #the #trump #administration - welcome 2 the #StatueOfLibertyMuseum https://t.co/kogbSJ3AEI
91,'1130077837946499072,2019-05-19 11:48:47,StatueEllisFdn,"New York, NY USA","Thanks to AR, the Statue of Liberty is more accessible than ever. #StatueofLibertyMuseum #Apple https://t.co/2nOkmoE5pB"
92,'1130073623270711297,2019-05-19 11:32:02,slitoff,,Check out this #StatueofLiberty photograph on https://t.co/AFtzDWast0! https://t.co/MpOg9cG8dn @KimHojnacki
93,'1130039624074612736,2019-05-19 09:16:56,Rainman19661,,@nowthisnews @AOC @CatalinaCruzNY Yeah ... the #StatueOfLiberty in your mind means all our laws should be erased fo… https://t.co/5SI3UmnPyt
94,'1130024052297486338,2019-05-19 08:15:03,AreavisOfficial,"Warszawa, Polska","https://t.co/00hvaYWunl
Top 10 Exciting Activities in New York
#NewYork #NY #newyorkcity #NYC #USA… https://t.co/ipn03E9auz"
95,'1130017167842455552,2019-05-19 07:47:42,SkuratovskyV,"Strasbourg, France",Original #statueofliberty in #Colmar 🇫🇷 near #Strasbourg wearing #gilletjaune https://t.co/g7dwKCiS6X
96,'1129990065994776577,2019-05-19 06:00:00,trendingwwwandw,"Arizona, USA","🗽🇺🇸
#StatueofLiberty and Ellis Island in #NewYork #Experience #Tourism #Travel @StatueEllisNPS  
 Story at..… https://t.co/UBDtQVLc1L"
97,'1129980578579664896,2019-05-19 05:22:18,sdreed1108,,@senatemajldr @LindseyGrahamSC @SenatorCollins how can u not speak out?  #SuburbanWomenUnite &amp; #VoteThemAllOut!  Ch… https://t.co/4bH7tqcMf0
98,'1129974499917615104,2019-05-19 04:58:09,GaryHershorn,New York ,Fireworks in the New York harbour tonight in front of the Statue of Liberty and the Empire State Building.… https://t.co/FRnXeW7uTF
99,'1129929303616098305,2019-05-19 01:58:33,BrianELong,NYC,"Little Liberty.

#nyc #manhattan #statueofliberty #statue #sunset #batterypark #spring #freedom #america #history… https://t.co/JWs3jwBdQM"
100,'1129929039697907722,2019-05-19 01:57:30,matt75tobin,"Massachusetts, USA","@DailyCaller Not even a bakers dozen, I don’t see what the big deal is..   get this guy an I.D... a place to live..… https://t.co/b3pXds6p7f"
101,'1129919880076058624,2019-05-19 01:21:06,TattoosDave,"Huntington, NY",Living the New York dream with eezyxe . Sitting like a champion. And a big thanks to @OneInkSeven for being really… https://t.co/cPlhtdv0ZK
102,'1129910083796684802,2019-05-19 00:42:11,I3ruceVVayne,"Arizona, USA","@badluck_jones Yes, the bell has more brains than most Philadelphians.  Put it in D.C.  And the #StatueofLiberty, too"
103,'1129895306211090432,2019-05-18 23:43:28,StatueEllisFdn,"New York, NY USA",Lady Liberty’s 130+ year history awaits you in the new #StatueofLibertyMuseum. Ferry tkts at @StatueCruises. ⛴🗽 https://t.co/WpQAfJDsL0
104,'1129891919260266496,2019-05-18 23:30:00,jpdelaire,Minneapolis,"Hanging with my Godson Talin At #batterypark #statueofliberty #newyork #freedomtower @ New York, New York https://t.co/0AQo9lAeNT"
105,'1129882603023155200,2019-05-18 22:52:59,KPCharactCrafts,,#etsy shop: New York Statue of Liberty Pillow / Cushion / Cover https://t.co/HsS0Qz3AC1 #housewares #pillow #black… https://t.co/8xwBDiOj6V
106,'1129882440606949376,2019-05-18 22:52:20,GolfGuruDoug,,Let's hope Lady Liberty can see the show @bkoepka is putting on at bethpagegolfcourse ! #ilovecrazysocks… https://t.co/g03OnbJEnB
107,'1129874301740392448,2019-05-18 22:20:00,DowntownNYC,Downtown New York,The New #StatueofLiberty Museum Illuminates a Forgotten History via @nytimes https://t.co/6g2jJBFDWq @StatueEllisFdn https://t.co/ar5pIbuvGD
108,'1129862903148888064,2019-05-18 21:34:42,EGO206,Seattle,AR is just kind of scary. #StatueofLibertyMuseum #statueoflibertyapp https://t.co/CkXUAhlz8g
109,'1129862748047839238,2019-05-18 21:34:05,wecantourthat,"New York, NY",WWII aircraft flying over the Statue of Liberty this morning. #antiqueaircraft #antiqueairplanes #statueofliberty… https://t.co/brAyabXzXI
110,'1129860496226701312,2019-05-18 21:25:08,CityReliquary,"Williamsburgh, Brooklyn",Lady Liberty is dressed in her very finest for our celebration in honor of Reliquary friend Harley J. Spiller! His… https://t.co/B9JxdzgKSr
111,'1129859457125670912,2019-05-18 21:21:01,thedesklord,United States,"Invite Lady Liberty into your living room with AR on your Apple device:
https://t.co/vBkkeFrgPG #Apple #iPhone… https://t.co/DpLIGiI0Bm"
112,'1129857481440661504,2019-05-18 21:13:09,JasonDanieley,New York City,Sometimes you just have to get out of the hood. #softserve #statueofliberty #batterypark #cyclingnyc #broadway… https://t.co/6jTXv0VVHL
113,'1129855651243548678,2019-05-18 21:05:53,Zharrt,127.0.0.1,Who wore it better? #AUS #Eurovision #StatueOfLiberty https://t.co/c7rJuZRrWI
114,'1129855095024377859,2019-05-18 21:03:41,CharmingAngelNL,The Netherlands/Thailand,She looks like the #StatueOfLiberty. I love the mechanics of this song and girl can sing. #LadyLiberty #AUS #DareToDream #Eurovision
